이름,도로명주소,위도,경도
서울여의도광장우체국,서울특별시 영등포구 국회대로68길 7 (여의도동),,
서울영등포3동우편취급국,서울특별시 영등포구 양산로 214 (영등포동5가),,
서울영등포동4가우체국,서울특별시 영등포구 경인로 841 (영등포동4가),,
서울영등포시범A우편취급국,"서울특별시 영등포구 버드나루로19길 3, 1층(당산동,양용빌딩)",,
서울영등포우체국,서울특별시 영등포구 선유동2로 6 (당산동4가),,
여의도우체국,서울특별시 영등포구 여의나루로 60 (여의도동),,
한국방송공사우편취급국,"서울특별시 영등포구 여의공원로 13 (여의도동, 한국방송공사)",,
서울관악삼성동우편취급국,서울특별시 관악구 호암로 526 (신림동),,
서울관악신사동우편취급국,서울특별시 관악구 조원로 118 (신림동),,
서울관악우체국,서울특별시 관악구 남부순환로 1643 (신림동),,
서울낙성대우편취급국,"서울특별시 관악구 남부순환로244가길 2,102호 (봉천동, 진빌딩)",,
서울난곡우체국,서울특별시 관악구 난곡로 275 (신림동),,
서울남현동우편취급국,서울특별시 관악구 남부순환로272길 38 (남현동),,
서울대학교우체국,서울특별시 관악구 관악로 1 (신림동),,
서울보라매우편취급국,"서울특별시 관악구 보라매로3길 29 (봉천동,보라매해태타워아파트)",,
서울봉천동우체국,서울특별시 관악구 관악로 249-1 (봉천동),,
서울봉천역전우편취급국,"서울특별시 관악구 남부순환로 1722 (봉천동,한국공인중개사협회)",,
서울신림동부우편취급국,서울특별시 관악구 문성로31길 38 (신림동),,
서울신림동우체국,서울특별시 관악구 대학5길 38 (신림동),,
서울은천동우체국,서울특별시 관악구 봉천로27길 58 (봉천동),,
서울청룡동우편취급국,서울특별시 관악구 청룡중앙길 11 1층 (봉천동),,
서울행운동우체국,서울특별시 관악구 남부순환로 1841 (봉천동),,
제22군사우편출장소,"서울특별시 관악구 과천대로 851, 군악대1층",,
서울노량진1동우편취급국,"서울특별시 동작구 장승배기로 136, 1층 (노량진동, 일등속셈학원)",,
서울노량진2동우편취급국,서울특별시 동작구 등용로14길 68 (노량진동),,
서울노량진우체국,서울특별시 동작구 노량진로 224 (본동),,
서울동작약수우편취급국,서울특별시 동작구 장승배기로 6 (상도동),,
서울동작우체국,서울특별시 동작구 여의대방로22길 77 (신대방동),,
서울사당5동우편취급국,서울특별시 동작구 사당로 204 (사당동),,
서울사당동우체국,서울특별시 동작구 동작대로 75 (사당동),,
서울사당우성우편취급국,"서울특별시 동작구 동작대로29길, 77 (사당2동 120)",,
서울상도동우체국,서울특별시 동작구 상도로 236 (상도동),,
서울흑석동우체국,서울특별시 동작구 서달로15길 13 (흑석동),,
숭실대학교우편취급국,"서울특별시 동작구 상도로 369 (상도동,숭실대학교)",,
중앙대학교우편취급국,"서울특별시 동작구 흑석로 84 (흑석동,중앙대학교)",,
김포공항우편취급국,서울특별시 강서구 하늘길 112 (공항동),,
서울가양동우체국,서울특별시 강서구 허준로 95-5 (가양동),,
서울강서우체국,서울특별시 강서구 강서로 448 (등촌동),,
서울공항이주우편취급국,서울특별시 강서구 방화대로7길 40 (공항동),,
서울등촌동우체국,서울특별시 강서구 화곡로63길 90 (등촌동),,
서울마곡나루우체국,서울특별시 강서구 마곡중앙5로 28,,
서울마곡동우편취급국,서울특별시 강서구 마곡서로205-21,,
서울마곡역우편취급국,"서울특별시 강서구 공항대로 212  1층 105호 (마곡동, 문영퀸즈파크11차)",,
서울발산동우체국,서울특별시 강서구 강서로 283 (내발산동),,
서울방화동우체국,서울특별시 강서구 금낭화로26길 22 (방화동),,
서울염창동우체국,서울특별시 강서구 공항대로 623 (염창동),,
서울화곡1동우편취급국,서울특별시 강서구 강서로17길 6 (화곡동),,
서울화곡3동우편취급국,"서울특별시 강서구 화곡로13길 28 (화곡동, 태화빌딩)",,
서울화곡4동우체국,서울특별시 강서구 곰달래로 265 (화곡동),,
서울화곡5동우편취급국,서울특별시 강서구 화곡로27길 30 (화곡동),,
서울화곡본동우편취급국,서울특별시 강서구 화곡로53가길 18 (화곡동),,
우림블루나인우편취급국,"서울특별시 강서구 양천로 583, B동 지하117호 (염창동, 우림블루나인비즈니스센터)",,
화곡우체국,서울특별시 강서구 까치산로 55 (화곡동),,
국제우편물류센터,"인천광역시 중구 공항동로193번길 40-32 (운서동,우정사업본부국제우편물류센터)",,
서울남부지방법원출장소,서울특별시 양천구 신월로 386 (신정동),,
서울목2동우편취급국,서울특별시 양천구 목동중앙본로 60 (목동),,
서울목동대림우편취급국,서울특별시 양천구 오목로56길 10(목동),,
서울목동동신우편취급국,서울특별시 양천구 목동중앙북로1길 46 (목동),,
